Start Time UTC,Start Time LST,Source_Name,RA,DEC,Obs_Type,Integration_Time
2024-11-15 07:54:37,12:59:59.999210,J1939-6342,19:39:25.0264,-63:42:45.625,fluxcal,300
2024-11-15 07:59:38,13:05:00.999210,3C286,13:31:08.2879,+30:30:32.958,polcal,300
2024-11-15 08:04:39,13:10:01.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 08:06:40,13:12:02.999210,MMGPS_U_0034,12:09:50.87,-69:28:00.66,Target,505
2024-11-15 08:15:05,13:20:27.999210,MMGPS_U_0035,12:15:47,-68:48:06.86,Target,505
2024-11-15 08:23:30,13:28:52.999210,MMGPS_U_0036,12:12:23.67,-68:00:41.44,Target,505
2024-11-15 08:31:55,13:37:17.999210,MMGPS_U_0063,12:19:24.46,-69:35:16.64,Target,505
2024-11-15 08:40:21,13:45:43.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 08:42:22,13:47:44.999210,MMGPS_U_0037,12:17:54.31,-67:20:30.31,Target,505
2024-11-15 08:50:47,13:56:09.999210,MMGPS_U_0038,12:14:38.36,-66:33:14.42,Target,505
2024-11-15 08:59:12,14:04:34.999210,MMGPS_U_0064,12:25:05.62,-68:54:14.48,Target,505
2024-11-15 09:07:37,14:12:59.999210,MMGPS_U_0065,12:21:22.98,-68:07:30.84,Target,505
2024-11-15 09:16:03,14:21:25.999210,J1830-3602,18:30:59,-36:02:30,gaincal,120
2024-11-15 09:18:03,14:23:25.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 09:20:04,14:25:26.999210,MMGPS_U_0039,12:19:46.97,-65:52:48.2,Target,505
2024-11-15 09:28:29,14:33:51.999210,MMGPS_U_0040,12:16:38.12,-65:05:40.98,Target,505
2024-11-15 09:36:54,14:42:16.999210,MMGPS_U_0041,12:21:27.47,-64:25:01.48,Target,505
2024-11-15 09:45:19,14:50:41.999210,MMGPS_U_0042,12:18:25.42,-63:38:02.19,Target,505
2024-11-15 09:53:45,14:59:07.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 09:55:45,15:01:07.999210,3C286,13:31:08.2879,+30:30:32.958,polcal,300
2024-11-15 10:00:47,15:06:09.999210,MMGPS_U_0043,12:22:57.78,-62:57:10.9,Target,505
2024-11-15 10:09:12,15:14:34.999210,MMGPS_U_0044,12:20:02.21,-62:10:18.89,Target,505
2024-11-15 10:17:37,15:22:59.999210,MMGPS_U_0045,12:24:19.49,-61:29:17.07,Target,505
2024-11-15 10:26:02,15:31:24.999210,MMGPS_U_0026,12:23:53.08,-54:04:19.89,Target,505
2024-11-15 10:34:28,15:39:50.999210,J1833-2103,18:33:40,-21:03:40,gaincal,120
2024-11-15 10:36:28,15:41:50.999210,J1218-4600,12:18:06,-46:00:29,gaincal,120
2024-11-15 10:38:29,15:43:51.999210,MMGPS_U_0027,12:21:37.47,-53:17:34.24,Target,505
2024-11-15 10:46:54,15:52:16.999210,MMGPS_U_0028,12:24:55.94,-52:36:25.18,Target,505
2024-11-15 10:55:19,16:00:41.999210,MMGPS_U_0046,12:21:30.07,-60:42:31.76,Target,505
2024-11-15 11:03:44,16:09:06.999210,MMGPS_U_0047,12:25:33.84,-60:01:20.45,Target,505
2024-11-15 11:12:10,16:17:32.999210,J1218-4600,12:18:06,-46:00:29,gaincal,120
2024-11-15 11:14:10,16:19:32.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 11:16:11,16:21:33.999210,MMGPS_U_0048,12:22:50.28,-59:14:41.35,Target,505
2024-11-15 11:24:36,16:29:58.999210,MMGPS_U_0049,12:26:41.88,-58:33:21.45,Target,505
2024-11-15 11:33:01,16:38:23.999210,MMGPS_U_0050,12:24:03.88,-57:46:48.11,Target,505
2024-11-15 11:41:26,16:46:48.999210,MMGPS_U_0051,12:27:44.45,-57:05:20.38,Target,505
2024-11-15 11:49:52,16:55:14.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 11:51:53,16:57:15.999210,MMGPS_U_0052,12:25:11.73,-56:18:52.41,Target,505
2024-11-15 12:00:18,17:05:40.999210,MMGPS_U_0053,12:28:42.25,-55:37:17.51,Target,505
2024-11-15 12:08:43,17:14:05.999210,MMGPS_U_0054,12:26:14.57,-54:50:54.57,Target,505
2024-11-15 12:17:08,17:22:30.999210,MMGPS_U_0055,12:29:35.88,-54:09:13.06,Target,505
2024-11-15 12:25:34,17:30:56.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 12:27:35,17:32:57.999210,MMGPS_U_0056,12:27:13.01,-53:22:54.84,Target,505
2024-11-15 12:36:00,17:41:22.999210,MMGPS_U_0057,12:30:25.84,-52:41:07.23,Target,505
2024-11-15 12:44:25,17:49:47.999210,MMGPS_U_0066,12:26:40.24,-67:26:16.11,Target,505
2024-11-15 12:52:50,17:58:12.999210,MMGPS_U_0067,12:23:07.33,-66:39:40.38,Target,505
2024-11-15 13:01:16,18:06:38.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 13:03:17,18:08:39.999210,MMGPS_U_0068,12:28:03.87,-65:58:14.68,Target,505
2024-11-15 13:11:42,18:17:04.999210,MMGPS_U_0069,12:24:39.99,-65:11:46.08,Target,505
2024-11-15 13:20:07,18:25:29.999210,MMGPS_U_0070,12:29:18.42,-64:30:10.73,Target,505
2024-11-15 13:28:32,18:33:54.999210,MMGPS_U_0071,12:26:02.94,-63:43:48.59,Target,505
2024-11-15 13:36:58,18:42:20.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 13:38:59,18:44:21.999210,MMGPS_U_0072,12:30:25.37,-63:02:04.66,Target,505
2024-11-15 13:47:24,18:52:46.999210,MMGPS_U_0073,12:27:17.71,-62:15:48.41,Target,505
2024-11-15 13:55:49,19:01:11.999210,MMGPS_U_0074,12:31:25.89,-61:33:56.8,Target,505
2024-11-15 14:04:14,19:09:36.999210,MMGPS_U_0075,12:28:25.53,-60:47:45.95,Target,505
2024-11-15 14:12:40,19:18:02.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 14:14:41,19:20:03.999210,MMGPS_U_0092,12:29:03.62,-69:40:39.48,Target,505
2024-11-15 14:23:06,19:28:28.999210,MMGPS_U_0093,12:34:28.54,-68:58:31.66,Target,505
2024-11-15 14:31:31,19:36:53.999210,MMGPS_U_0094,12:30:26.87,-68:12:33.8,Target,505
2024-11-15 14:39:56,19:45:18.999210,MMGPS_U_0095,12:35:29.72,-67:30:17.91,Target,505
2024-11-15 14:48:22,19:53:44.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 14:50:23,19:55:45.999210,MMGPS_U_0122,12:43:54.27,-69:00:57.28,Target,505
2024-11-15 14:58:48,20:04:10.999210,MMGPS_U_0123,12:39:33.99,-68:15:49.08,Target,505
2024-11-15 15:07:13,20:12:35.999210,MMGPS_U_0124,12:44:21.51,-67:32:34.78,Target,505
2024-11-15 15:15:38,20:21:00.999210,MMGPS_U_0151,12:53:21.26,-69:01:30.69,Target,505
2024-11-15 15:24:04,20:29:26.999210,J1424-4913,14:24:32,-49:13:50,gaincal,120
2024-11-15 15:26:04,20:31:26.999210,J1726-5529,17:26:50,-55:29:40,gaincal,120
2024-11-15 15:28:05,20:33:27.999210,MMGPS_U_0181,12:57:52.34,-68:16:53.78,Target,505
2024-11-15 15:36:30,20:41:52.999210,MMGPS_U_0209,13:12:12.71,-68:57:00.77,Target,505
2024-11-15 15:44:56,20:50:18.999210,J1726-5529,17:26:50,-55:29:40,gaincal,120
2024-11-15 15:46:56,20:52:18.999210,J0408-6545,04:08:20.3782,-65:45:09.08,fluxcal,300
